ch_name,x,y,z
Fp1,-0.309,0.951,0.0
Fpz,0.0,1.0,-0.0001
Fp2,0.309,0.951,0.0
F7,-0.809,0.588,0.0
F3,-0.534,0.659,0.53
Fz,0.0,0.695,0.719
F4,0.534,0.659,0.53
F8,0.809,0.588,0.0
Fc5,-0.877,0.337,0.342
Fc1,-0.354,0.354,0.866
Fc2,0.354,0.354,0.866
Fc6,0.877,0.337,0.342
M1,-0.9237,-0.0001,-0.3826
T7,-1.0,0.0,0.0
C3,-0.695,0.0,0.719
Cz,-0.0349,-3.78e-21,0.999
C4,0.695,7.53e-20,0.719
T8,1.0,1.08e-19,0.0
M2,0.9237,0.0,-0.3826
Cp5,-0.877,-0.337,0.342
Cp1,-0.354,-0.354,0.866
Cp2,0.354,-0.354,0.866
Cp6,0.877,-0.337,0.342
P7,-0.809,-0.588,0.0
P3,-0.534,-0.659,0.53
Pz,0.0,-0.695,0.719
P4,0.534,-0.659,0.53
P8,0.809,-0.588,0.0
Poz,0.0,-0.921,0.391
O1,-0.309,-0.951,0.0
O2,0.309,-0.951,0.0
Cpz,0.0,-0.358,0.934
Af7,-0.588,0.809,0.0
Af3,-0.402,0.862,0.309
Af4,0.402,0.862,0.309
Af8,0.588,0.809,0.0
F5,-0.722,0.627,0.292
F1,-0.2888,0.6979,0.6542
F2,0.2888,0.6979,0.6542
F6,0.722,0.627,0.292
Fc3,-0.656,0.349,0.669
Fcz,0.0,0.3826,0.9233
Fc4,0.656,0.349,0.669
C5,-0.921,0.0,0.391
C1,-0.3824,0.0002,0.9231
C2,0.3824,0.0001,0.9231
C6,0.921,9.98e-20,0.391
Cp3,-0.656,-0.349,0.669
Cp4,0.656,-0.349,0.669
P5,-0.722,-0.627,0.292
P1,-0.2889,-0.6975,0.6545
P2,0.2889,-0.6975,0.6545
P6,0.722,-0.627,0.292
Po5,-0.4929,-0.8553,0.1555
Po3,-0.402,-0.862,0.309
Po4,0.402,-0.862,0.309
Po6,0.4929,-0.8553,0.1555
Ft7,-0.951,0.309,0.0
Ft8,0.951,0.309,0.0
Tp7,-0.951,-0.309,0.0
Tp8,0.951,-0.309,0.0
Po7,-0.588,-0.809,0.0
Po8,0.588,-0.809,0.0
Oz,0.0,-1.0,0.0
